car_color,fuel_type,car_type,car_license,gear_type,windows,motor_power,speedometer,passengers_number,payment_method,car_state,ex_owners,additions,price
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,75000,5.0,نقدا فقط ,للبيع فقط ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",100000
سكني ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2500,130000,8.0,إمكانية التقسيط ,للبيع أو التبديل ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",60000
سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,,,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",43500
بيج ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,906,,5.0,إمكانية التقسيط ,للبيع فقط ,0.0,"

مُكيّف
مسجل CD

",5500
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1200,38000,5.0,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم
وسادة حماية هوائية

",54000
أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,,6.0,نقدا فقط ,للبيع فقط ,0.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",205000
بترولي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,123456,5.0,إمكانية التقسيط ,للبيع فقط ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",65000
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,50000,5.0,إمكانية التقسيط ,للبيع فقط ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",230000
أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,,,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية

",59000
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,4500,56000,8.0,إمكانية التقسيط ,للبيع فقط ,0.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",84000
أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2500,460000,8.0,إمكانية التقسيط ,للبيع أو التبديل ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية

",75000
فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,,5.0,نقدا فقط ,للبيع فقط ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",39000
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1200,45000,5.0,نقدا فقط ,للبيع فقط ,0.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",73000
ذهبي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,70000,5.0,إمكانية التقسيط ,للبيع أو التبديل ,4.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية

",30000
أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1200,,,نقدا فقط ,للبيع فقط ,,"

مُكيّف
مسجل CD
جنطات مغنيسيوم

",55000
فيراني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,79000,5.0,نقدا فقط ,للبيع فقط ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",66000
أحمر ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,0,,نقدا فقط ,للبيع فقط ,2.0,"

مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية

",55000
سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,150000,7.0,إمكانية التقسيط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
مسجل CD

",100000
ذهبي ,بنزين ,خصوصي ,نمرة صفراء ,اوتوماتيك ,الكتروني ,1800,210000,5.0,نقدا فقط ,للبيع فقط ,3.0,"

مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",2600
أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1200,1,5.0,إمكانية التقسيط ,للبيع فقط ,2.0,"

مسجل CD
جنطات مغنيسيوم

",1800
أزرق سماوي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200,20000,7.0,نقدا فقط ,للبيع فقط ,3.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
فرش جلد
وسادة حماية هوائية

",77000
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,0,5.0,نقدا فقط ,للبيع فقط ,3.0,"

إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",20000
رمادي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,113000,5.0,إمكانية التقسيط ,للبيع فقط ,2.0,"

مُكيّف
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",61000
أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1250,33000,5.0,نقدا فقط ,للتبديل فقط ,0.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية

",47000
فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,,5.0,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",93000
سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,,5.0,نقدا فقط ,للبيع فقط ,0.0,"

مُكيّف
جهاز إنذار
مسجل CD

",71000
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1800,,5.0,إمكانية التقسيط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",110000
عدة الوان ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,,,نقدا فقط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم

",90000
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,122000,5.0,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",67000
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1300,0,5.0,نقدا فقط ,للبيع فقط ,0.0,"

إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم

",17500
فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,22000,5.0,إمكانية التقسيط ,للبيع أو التبديل ,0.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",67000
أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,,5.0,نقدا فقط ,للبيع أو التبديل ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية

",60000
أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,,7.0,إمكانية التقسيط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",95000
أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1500,,5.0,نقدا فقط ,للبيع فقط ,3.0,"


",30000
فضي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,150000,7.0,إمكانية التقسيط ,للبيع فقط ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",115000
