لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
سكني ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني 
سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
بيج ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي 
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
بترولي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
ذهبي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فيراني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أحمر ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
ذهبي ,بنزين ,خصوصي ,نمرة صفراء ,اوتوماتيك ,الكتروني 
أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي 
أزرق سماوي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
رمادي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
